Rank,Country,CPI,Year,ID
1,Finland,9.9,2001,FIN
2,Denmark,9.5,2001,DNK
3,New Zealand,9.4,2001,NZL
4,Iceland,9.2,2001,ISL
4,Singapore,9.2,2001,SGP
6,Sweden,9,2001,SWE
7,Canada,8.9,2001,CAN
8,Netherlands,8.8,2001,NLD
9,Luxembourg,8.7,2001,LUX
10,Norway,8.6,2001,NOR
11,Australia,8.5,2001,AUS
12,Switzerland,8.4,2001,CHE
13,United Kingdom,8.3,2001,GBR
14,Hong Kong,7.9,2001,HKG
15,Austria,7.8,2001,AUT
16,Israel,7.6,2001,ISR
16,USA,7.6,2001,USA
18,Chile,7.5,2001,CHL
18,Ireland,7.5,2001,IRL
20,Germany,7.4,2001,DEU
21,Japan,7.1,2001,JPN
22,Spain,7,2001,ESP
23,France,6.7,2001,FRA
24,Belgium,6.6,2001,BEL
25,Portugal,6.3,2001,PRT
26,Botswana,6,2001,BWA
27,Taiwan,5.9,2001,TWN
28,Estonia,5.6,2001,EST
29,Italy,5.5,2001,ITA
30,Namibia,5.4,2001,NAM
31,Hungary,5.3,2001,HUN
31,Trinidad and Tobago,5.3,2001,TTO
31,Tunisia,5.3,2001,TUN
34,Slovenia,5.2,2001,SVN
35,Uruguay,5.1,2001,URY
36,Malaysia,5,2001,MYS
37,Jordan,4.9,2001,JOR
38,Lithuania,4.8,2001,LTU
38,South Africa,4.8,2001,ZAF
40,Costa Rica,4.5,2001,CRI
40,Mauritius,4.5,2001,MUS
42,Greece,4.2,2001,GRC
42,South Korea,4.2,2001,KOR
44,Peru,4.1,2001,PER
44,Poland,4.1,2001,POL
46,Brazil,4,2001,BRA
47,Bulgaria,3.9,2001,BGR
47,Croatia,3.9,2001,HRV
47,Czech Republic,3.9,2001,CZE
50,Colombia,3.8,2001,COL
51,Mexico,3.7,2001,MEX
51,Panama,3.7,2001,PAN
51,Slovak Republic,3.7,2001,SVK
54,Egypt,3.6,2001,EGY
54,El Salvador,3.6,2001,SLV
54,Turkey,3.6,2001,TUR
57,Argentina,3.5,2001,ARG
57,China,3.5,2001,CHN
59,Ghana,3.4,2001,GHA
59,Latvia,3.4,2001,LVA
61,Malawi,3.2,2001,MWI
61,Thailand,3.2,2001,THA
63,Dominican Rep,3.1,2001,DOM
63,Moldova,3.1,2001,MDA
65,Guatemala,2.9,2001,GTM
65,Philippines,2.9,2001,PHL
65,Senegal,2.9,2001,SEN
65,Zimbabwe,2.9,2001,ZWE
69,Romania,2.8,2001,ROU
69,Venezuela,2.8,2001,VEN
71,Honduras,2.7,2001,HND
71,India,2.7,2001,IND
71,Kazakhstan,2.7,2001,KAZ
71,Uzbekistan,2.7,2001,UZB
75,Vietnam,2.6,2001,VNM
75,Zambia,2.6,2001,ZMB
77,Cote d´Ivoire,2.4,2001,CIV
77,Nicaragua,2.4,2001,NIC
79,Ecuador,2.3,2001,ECU
79,Pakistan,2.3,2001,PAK
79,Russia,2.3,2001,RUS
82,Tanzania,2.2,2001,TZA
83,Ukraine,2.1,2001,UKR
84,Azerbaijan,2,2001,AZE
84,Bolivia,2,2001,BOL
84,Cameroon,2,2001,CMR
84,Kenya,2,2001,KEN
88,Indonesia,1.9,2001,IDN
88,Uganda,1.9,2001,UGA
90,Nigeria,1,2001,NGA
91,Bangladesh,0.4,2001,BGD
