Rank,Country,CPI,Year,ID
1,Iceland,9.7,2005,ISL
2,Finland,9.6,2005,FIN
2,New Zealand,9.6,2005,NZL
4,Denmark,9.5,2005,DNK
5,Singapore,9.4,2005,SGP
6,Sweden,9.2,2005,SWE
7,Switzerland,9.1,2005,CHE
8,Norway,8.9,2005,NOR
9,Australia,8.8,2005,AUS
10,Austria,8.7,2005,AUT
11,Netherlands,8.6,2005,NLD
11,United Kingdom,8.6,2005,GBR
13,Luxembourg,8.5,2005,LUX
14,Canada,8.4,2005,CAN
15,Hong Kong,8.3,2005,HKG
16,Germany,8.2,2005,DEU
17,USA,7.6,2005,USA
18,France,7.5,2005,FRA
19,Belgium,7.4,2005,BEL
19,Ireland,7.4,2005,IRL
21,Chile,7.3,2005,CHL
21,Japan,7.3,2005,JPN
23,Spain,7,2005,ESP
24,Barbados,6.9,2005,BRB
25,Malta,6.6,2005,MLT
26,Portugal,6.5,2005,PRT
27,Estonia,6.4,2005,EST
28,Israel,6.3,2005,ISR
28,Oman,6.3,2005,OMN
30,United Arab Emirates,6.2,2005,ARE
31,Slovenia,6.1,2005,SVN
32,Botswana,5.9,2005,BWA
32,Qatar,5.9,2005,QAT
32,Taiwan,5.9,2005,TWN
32,Uruguay,5.9,2005,URY
36,Bahrain,5.8,2005,BHR
37,Cyprus,5.7,2005,CYP
37,Jordan,5.7,2005,JOR
39,Malaysia,5.1,2005,MYS
40,Hungary,5,2005,HUN
40,Italy,5,2005,ITA
40,South Korea,5,2005,KOR
43,Tunisia,4.9,2005,TUN
44,Lithuania,4.8,2005,LTU
45,Kuwait,4.7,2005,KWT
46,South Africa,4.5,2005,ZAF
47,Czech Republic,4.3,2005,CZE
47,Greece,4.3,2005,GRC
47,Namibia,4.3,2005,NAM
47,Slovakia,4.3,2005,SVK
51,Costa Rica,4.2,2005,CRI
51,El Salvador,4.2,2005,SLV
51,Latvia,4.2,2005,LVA
51,Mauritius,4.2,2005,MUS
55,Bulgaria,4,2005,BGR
55,Colombia,4,2005,COL
55,Fiji,4,2005,FJI
55,Seychelles,4,2005,SYC
59,Cuba,3.8,2005,CUB
59,Thailand,3,8,2005,THA
