Rank,Country,CPI,Year,X,ID
1,Finland,9.7,2004,NA,FIN
2,New Zealand,9.6,2004,NA,NZL
3,Denmark,9.5,2004,NA,DNK
3,Iceland,9.5,2004,NA,ISL
5,Singapore,9.3,2004,NA,SGP
6,Sweden,9.2,2004,NA,SWE
7,Switzerland,9.1,2004,NA,CHE
8,Norway,8.9,2004,NA,NOR
9,Australia,8.8,2004,NA,AUS
10,Netherlands,8.7,2004,NA,NLD
11,United Kingdom,8.6,2004,NA,GBR
12,Canada,8.5,2004,NA,CAN
13,Austria,8.4,2004,NA,AUT
13,Luxembourg,8.4,2004,NA,LUX
15,Germany,8.2,2004,NA,DEU
16,Hong Kong,8,2004,NA,HKG
17,Belgium,7.5,2004,NA,BEL
17,Ireland,7.5,2004,NA,IRL
17,USA,7.5,2004,NA,USA
20,Chile,7.4,2004,NA,CHL
21,Barbados,7.3,2004,NA,BRB
22,France,7.1,2004,NA,FRA
22,Spain,7.1,2004,NA,ESP
24,Japan,6.9,2004,NA,JPN
25,Malta,6.8,2004,NA,MLT
26,Israel,6.4,2004,NA,ISR
27,Portugal,6.3,2004,NA,PRT
28,Uruguay,6.2,2004,NA,URY
29,Oman,6.1,2004,NA,OMN
29,United Arab Emirates,6.1,2004,NA,ARE
31,Botswana,6,2004,NA,BWA
31,Estonia,6,2004,NA,EST
31,Slovenia,6,2004,NA,SVN
34,Bahrain,5.8,2004,NA,BHR
35,Taiwan,5.6,2004,NA,TWN
36,Cyprus,5.4,2004,NA,CYP
37,Jordan,5.3,2004,NA,JOR
38,Qatar,5.2,2004,NA,QAT
39,Malaysia,5,2004,NA,MYS
39,Tunisia,5,2004,NA,TUN
41,Costa Rica,4.9,2004,NA,CRI
42,Hungary,4.8,2004,NA,HUN
42,Italy,4.8,2004,NA,ITA
44,Kuwait,4.6,2004,NA,KWT
44,Lithuania,4.6,2004,NA,LTU
44,South Africa,4.6,2004,NA,ZAF
47,South Korea,4.5,2004,NA,KOR
48,Seychelles,4.4,2004,NA,SYC
49,Greece,4.3,2004,NA,GRC
49,Suriname,4.3,2004,NA,SUR
51,Czech Republic,4.2,2004,NA,CZE
51,El Salvador,4.2,2004,NA,SLV
51,Trinidad and Tobago,4.2,2004,NA,TTO
54,Bulgaria,4.1,2004,NA,BGR
54,Mauritius,4.1,2004,NA,MUS
54,Namibia,4.1,2004,NA,NAM
57,Latvia,4,2004,NA,LVA
57,Slovakia,4,2004,NA,SVK
59,Brazil,3.9,2004,NA,BRA
60,Belize,3.8,2004,NA,BLZ
60,Colombia,3.8,2004,NA,COL
62,Cuba,3.7,2004,NA,CUB
62,Panama,3.7,2004,NA,PAN
64,Ghana,3.6,2004,NA,GHA
64,Mexico,3.6,2004,NA,MEX
64,Thailand,3.6,2004,NA,THA
67,Croatia,3.5,2004,NA,HRV
67,Peru,3.5,2004,NA,PER
67,Poland,3.5,2004,NA,POL
67,Sri Lanka,3.5,2004,NA,LKA
71,China,3.4,2004,NA,CHN
71,Saudi Arabia,3.4,2004,NA,SAU
71,Syria,3.4,2004,NA,SYR
74,Belarus,3.3,2004,NA,BLR
74,Gabon,3.3,2004,NA,GAB
74,Jamaica,3.3,2004,NA,JAM
77,Benin,3.2,2004,NA,BEN
77,Egypt,3.2,2004,NA,EGY
77,Mali,3.2,2004,NA,MLI
77,Morocco,3.2,2004,NA,MAR
77,Turkey,3.2,2004,NA,TUR
82,Armenia,3.1,2004,NA,ARM
82,Bosnia and Herzegovina,3.1,2004,NA,BIH
82,Madagascar,3.1,2004,NA,MDG
85,Mongolia,3,2004,NA,MNG
85,Senegal,3,2004,NA,SEN
87,Dominican Republic,2.9,2004,NA,DOM
87,Iran,2.9,2004,NA,IRN
87,Romania,2.9,2004,NA,ROU
90,Gambia,2.8,2004,NA,GMB
90,India,2.8,2004,NA,IND
90,Malawi,2.8,2004,NA,MWI
90,Mozambique,2.8,2004,NA,MOZ
90,Nepal,2.8,2004,NA,NPL
90,Russia,2.8,2004,NA,RUS
90,Tanzania,2.8,2004,NA,TZA
97,Algeria,2.7,2004,NA,DZA
97,Lebanon,2.7,2004,NA,LBN
97,Macedonia,2.7,2004,NA,MKD
97,Nicaragua,2.7,2004,NA,NIC
97,Serbia and Montenegro,2.7,2004,NA,NA
102,Eritrea,2.6,2004,NA,ERI
102,Papua New Guinea,2.6,2004,NA,PNG
102,Philippines,2.6,2004,NA,PHL
102,Uganda,2.6,2004,NA,UGA
102,Vietnam,2.6,2004,NA,VNM
102,Zambia,2.6,2004,NA,ZMB
108,Albania,2.5,2004,NA,ALB
108,Argentina,2.5,2004,NA,ARG
108,Libya,2.5,2004,NA,LBY
108,Palestinian Authority,2.5,2004,NA,PSE
112,Ecuador,2.4,2004,NA,ECU
112,Yemen,2.4,2004,NA,YEM
114,Congo. Republic of,2.3,2004,NA,COG
114,Ethiopia,2.3,2004,NA,ETH
114,Honduras,2.3,2004,NA,HND
114,Moldova,2.3,2004,NA,MDA
114,Sierra Leone,2.3,2004,NA,SLE
114,Uzbekistan,2.3,2004,NA,UZB
114,Venezuela,2.3,2004,NA,VEN
114,Zimbabwe,2.3,2004,NA,ZWE
122,Bolivia,2.2,2004,NA,BOL
122,Guatemala,2.2,2004,NA,GTM
122,Kazakhstan,2.2,2004,NA,KAZ
122,Kyrgyzstan,2.2,2004,NA,KGZ
122,Niger,2.2,2004,NA,NER
122,Sudan,2.2,2004,NA,SDN
122,Ukraine,2.2,2004,NA,UKR
129,Cameroon,2.1,2004,NA,CMR
129,Iraq,2.1,2004,NA,IRQ
129,Kenya,2.1,2004,NA,KEN
129,Pakistan,2.1,2004,NA,PAK
133,Angola,2,2004,NA,AGO
133,Congo. Democratic Republic,2,2004,NA,COD
133,Cote d´Ivoire,2,2004,NA,CIV
133,Georgia,2,2004,NA,GEO
133,Indonesia,2,2004,NA,IDN
133,Tajikistan,2,2004,NA,TJK
133,Turkmenistan,2,2004,NA,TKM
140,Azerbaijan,1.9,2004,NA,AZE
140,Paraguay,1.9,2004,NA,PRY
142,Chad,1.7,2004,NA,TCD
142,Myanmar,1.7,2004,NA,MMR
144,Nigeria,1.6,2004,NA,NGA
145,Bangladesh,1.5,2004,NA,BGD
145,Haiti,1.5,2004,NA,HTI
