Rank,Country,CPI,Year,ID
1,Denmark,9.1,2013,DNK
1,New Zealand,9.1,2013,NZL
3,Finland,8.9,2013,FIN
3,Sweden,8.9,2013,SWE
5,Norway,8.6,2013,NOR
5,Singapore,8.6,2013,SGP
7,Switzerland,8.5,2013,CHE
8,Netherlands,8.3,2013,NLD
9,Australia,8.1,2013,AUS
9,Canada,8.1,2013,CAN
11,Luxembourg,8,2013,LUX
12,Germany,7.8,2013,DEU
12,Iceland,7.8,2013,ISL
14,United Kingdom,7.6,2013,GBR
15,Barbados,7.5,2013,BRB
15,Belgium,7.5,2013,BEL
15,Hong Kong,7.5,2013,HKG
18,Japan,7.4,2013,JPN
19,Uruguay,7.3,2013,URY
19,United States,7.3,2013,USA
21,Ireland,7.2,2013,IRL
22,Bahamas,7.1,2013,BHS
22,Chile,7.1,2013,CHL
22,France,7.1,2013,FRA
22,Saint Lucia,7.1,2013,LCA
26,Austria,6.9,2013,AUT
26,United Arab Emirates,6.9,2013,ARE
28,Estonia,6.8,2013,EST
28,Qatar,6.8,2013,QAT
30,Botswana,6.4,2013,BWA
31,Bhutan,6.3,2013,BTN
31,Cyprus,6.3,2013,CYP
33,Portugal,6.2,2013,PRT
33,Puerto Rico,6.2,2013,PRI
33,Saint Vincent and the Grenadines,6.2,2013,VCT
36,Israel,6.1,2013,ISR
36,Taiwan,6.1,2013,TWN
38,Brunei,6,2013,BRN
38,Poland,6,2013,POL
40,Spain,5.9,2013,ESP
41,Cape Verde,5.8,2013,CPV
41,Dominica,5.8,2013,DMA
43,Lithuania,5.7,2013,LTU
43,Slovenia,5.7,2013,SVN
45,Malta,5.6,2013,MLT
46,South Korea,5.5,2013,KOR
47,Hungary,5.4,2013,HUN
47,Seychelles,5.4,2013,SYC
49,Costa Rica,5.3,2013,CRI
49,Latvia,5.3,2013,LVA
49,Rwanda,5.3,2013,RWA
52,Mauritius,5.2,2013,MUS
53,Malaysia,5,2013,MYS
53,Turkey,5,2013,TUR
55,Georgia,4.9,2013,GEO
55,Lesotho,4.9,2013,LSO
57,Bahrain,4.8,2013,BHR
57,Croatia,4.8,2013,HRV
57,Czech Republic,4.8,2013,CZE
57,Namibia,4.8,2013,NAM
61,Oman,4.7,2013,OMN
61,Slovakia,4.7,2013,SVK
63,Cuba,4.6,2013,CUB
63,Ghana,4.6,2013,GHA
63,Saudi Arabia,4.6,2013,SAU
66,Jordan,4.5,2013,JOR
67,Macedonia,4.4,2013,MKD
67,Montenegro,4.4,2013,MNE
69,Italy,4.3,2013,ITA
69,Kuwait,4.3,2013,KWT
69,Romania,4.3,2013,ROU
72,Bosnia and Herzegovina,4.2,2013,BIH
72,Brazil,4.2,2013,BRA
72,Sao Tome and Principe,4.2,2013,STP
72,Serbia,4.2,2013,SRB
72,South Africa,4.2,2013,ZAF
77,Bulgaria,4.1,2013,BGR
77,Senegal,4.1,2013,SEN
77,Tunisia,4.1,2013,TUN
80,China,4,2013,CHN
80,Greece,4,2013,GRC
82,Swaziland,3.9,2013,SWZ
83,Burkina Faso,3.8,2013,BFA
83,El Salvador,3.8,2013,SLV
83,Jamaica,3.8,2013,JAM
83,Liberia,3.8,2013,LBR
83,Mongolia,3.8,2013,MNG
83,Peru,3.8,2013,PER
83,Trinidad and Tobago,3.8,2013,TTO
83,Zambia,3.8,2013,ZMB
91,Malawi,3.7,2013,MWI
91,Morocco,3.7,2013,MAR
91,Sri Lanka,3.7,2013,LKA
94,Algeria,3.6,2013,DZA
94,Armenia,3.6,2013,ARM
94,Benin,3.6,2013,BEN
94,Colombia,3.6,2013,COL
94,Djibouti,3.6,2013,DJI
94,India,3.6,2013,IND
94,Philippines,3.6,2013,PHL
94,Suriname,3.6,2013,SUR
102,Ecuador,3.5,2013,ECU
102,Moldova,3.5,2013,MDA
102,Panama,3.5,2013,PAN
102,Thailand,3.5,2013,THA
106,Argentina,3.4,2013,ARG
106,Bolivia,3.4,2013,BOL
106,Gabon,3.4,2013,GAB
