Rank,Country,CPI,Year,ID
1,New Zealand,9.5,2011,NZL
2,Denmark,9.4,2011,DNK
2,Finland,9.4,2011,FIN
4,Sweden,9.3,2011,SWE
5,Singapore,9.2,2011,SGP
6,Norway,9,2011,NOR
7,Netherlands,8.9,2011,NLD
8,Australia,8.8,2011,AUS
8,Switzerland,8.8,2011,CHE
10,Canada,8.7,2011,CAN
11,Luxembourg,8.5,2011,LUX
12,Hong Kong,8.4,2011,HKG
13,Iceland,8.3,2011,ISL
14,Germany,8,2011,DEU
14,Japan,8,2011,JPN
16,Austria,7.8,2011,AUT
16,Barbados,7.8,2011,BRB
16,United Kingdom,7.8,2011,GBR
19,Belgium,7.5,2011,BEL
19,Ireland,7.5,2011,IRL
21,Bahamas,7.3,2011,BHS
22,Chile,7.2,2011,CHL
22,Qatar,7.2,2011,QAT
24,United States,7.1,2011,USA
25,France,7,2011,FRA
25,Saint Lucia,7,2011,LCA
25,Uruguay,7,2011,URY
28,United Arab Emirates,6.8,2011,ARE
29,Estonia,6.4,2011,EST
30,Cyprus,6.3,2011,CYP
31,Spain,6.2,2011,ESP
32,Botswana,6.1,2011,BWA
32,Portugal,6.1,2011,PRT
32,Taiwan,6.1,2011,TWN
35,Slovenia,5.9,2011,SVN
36,Israel,5.8,2011,ISR
36,Saint Vincent and the Grenadines,5.8,2011,VCT
38,Bhutan,5.7,2011,BTN
39,Malta,5.6,2011,MLT
39,Puerto Rico,5.6,2011,PRI
41,Cape Verde,5.5,2011,CPV
41,Poland,5.5,2011,POL
43,South Korea,5.4,2011,KOR
44,Brunei,5.2,2011,BRN
44,Dominica,5.2,2011,DMA
46,Bahrain,5.1,2011,BHR
46,Macau,5.1,2011,MAC
46,Mauritius,5.1,2011,MUS
49,Rwanda,5,2011,RWA
50,Costa Rica,4.8,2011,CRI
50,Lithuania,4.8,2011,LTU
50,Oman,4.8,2011,OMN
50,Seychelles,4.8,2011,SYC
54,Hungary,4.6,2011,HUN
54,Kuwait,4.6,2011,KWT
56,Jordan,4.5,2011,JOR
57,Czech Republic,4.4,2011,CZE
57,Namibia,4.4,2011,NAM
57,Saudi Arabia,4.4,2011,SAU
60,Malaysia,4.3,2011,MYS
61,Cuba,4.2,2011,CUB
61,Latvia,4.2,2011,LVA
61,Turkey,4.2,2011,TUR
64,Georgia,4.1,2011,GEO
64,South Africa,4.1,2011,ZAF
66,Croatia,4,2011,HRV
66,Montenegro,4,2011,MNE
66,Slovakia,4,2011,SVK
69,Ghana,3.9,2011,GHA
69,Italy,3.9,2011,ITA
69,FYR Macedonia,3.9,2011,MKD
69,Samoa,3.9,2011,WSM
73,Brazil,3.8,2011,BRA
73,Tunisia,3.8,2011,TUN
75,China,3.6,2011,CHN
75,Romania,3.6,2011,ROU
77,Gambia,3.5,2011,GMB
77,Lesotho,3.5,2011,LSO
77,Vanuatu,3.5,2011,VUT
80,Colombia,3.4,2011,COL
80,El Salvador,3.4,2011,SLV
80,Greece,3.4,2011,GRC
80,Morocco,3.4,2011,MAR
80,Peru,3.4,2011,PER
80,Thailand,3.4,2011,THA
86,Bulgaria,3.3,2011,BGR
86,Jamaica,3.3,2011,JAM
86,Panama,3.3,2011,PAN
86,Serbia,3.3,2011,SRB
86,Sri Lanka,3.3,2011,LKA
91,Bosnia and Herzegovina,3.2,2011,BIH
91,Liberia,3.2,2011,LBR
91,Trinidad and Tobago,3.2,2011,TTO
91,Zambia,3.2,2011,ZMB
95,Albania,3.1,2011,ALB
95,India,3.1,2011,IND
95,Kiribati,3.1,2011,KIR
95,Swaziland,3.1,2011,SWZ
95,Tonga,3.1,2011,TON
100,Argentina,3,2011,ARG
100,Benin,3,2011,BEN
100,Burkina Faso,3,2011,BFA
100,Djibouti,3,2011,DJI
100,Gabon,3,2011,GAB
100,Indonesia,3,2011,IDN
100,Madagascar,3,2011,MDG
100,Malawi,3,2011,MWI
100,Mexico,3,2011,MEX
100,Sao Tome & Principe,3,2011,STP
100,Suriname,3,2011,SUR
100,Tanzania,3,2011,TZA
112,Algeria,2.9,2011,DZA
112,Egypt,2.9,2011,EGY
112,Kosovo,2.9,2011,NA
112,Moldova,2.9,2011,MDA
112,Senegal,2.9,2011,SEN
112,Vietnam,2.9,2011,VNM
118,Bolivia,2.8,2011,BOL
118,Mali,2.8,2011,MLI
120,Bangladesh,2.7,2011,BGD
120,Ecuador,2.7,2011,ECU
120,Ethiopia,2.7,2011,ETH
120,Guatemala,2.7,2011,GTM
120,Iran,2.7,2011,IRN
120,Kazakhstan,2.7,2011,KAZ
120,Mongolia,2.7,2011,MNG
120,Mozambique,2.7,2011,MOZ
120,Solomon Islands,2.7,2011,SLB
129,Armenia,2.6,2011,ARM
129,Dominican Republic,2.6,2011,DOM
129,Honduras,2.6,2011,HND
129,Philippines,2.6,2011,PHL
129,Syria,2.6,2011,SYR
134,Cameroon,2.5,2011,CMR
134,Eritrea,2.5,2011,ERI
