Rank,Country,CPI,Year,ID
1,New Zealand,9.43,1996,NZL
2,Denmark,9.33,1996,DNK
3,Sweden,9.08,1996,SWE
4,Finland,9.05,1996,FIN
5,Canada,8.96,1996,CAN
6,Norway,8.87,1996,NOR
7,Singapore,8.8,1996,SGP
8,Switzerland,8.76,1996,CHE
9,Netherlands,8.71,1996,NLD
10,Australia,8.6,1996,AUS
11,Ireland,8.45,1996,IRL
12,Unit.Kingd.,8.44,1996,NA
13,Germany,8.27,1996,DEU
14,Israel,7.71,1996,ISR
15,USA,7.66,1996,USA
16,Austria,7.59,1996,AUT
17,Japan,7.05,1996,JPN
18,Hong Kong,7.01,1996,HKG
19,France,6.96,1996,FRA
20,Belgium,6.84,1996,BEL
21,Chile,6.8,1996,CHL
22,Portugal,6.53,1996,PRT
23,South Africa,5.68,1996,ZAF
24,Poland,5.57,1996,POL
25,Czech Rep.,5.37,1996,CZE
26,Malaysia,5.32,1996,MYS
27,South Korea,5.02,1996,KOR
28,Greece,5.01,1996,GRC
29,Taiwan,4.98,1996,TWN
30,Jordan,4.89,1996,JOR
31,Hungary,4.86,1996,HUN
32,Spain,4.31,1996,ESP
33,Turkey,3.54,1996,TUR
34,Italy,3.42,1996,ITA
35,Argentina,3.41,1996,ARG
36,Bolivia,3.4,1996,BOL
37,Thailand,3.33,1996,THA
38,Mexico,3.3,1996,MEX
39,Ecuador,3.19,1996,ECU
40,Brazil,2.96,1996,BRA
41,Egypt,2.84,1996,EGY
42,Colombia,2.73,1996,COL
43,Uganda,2.71,1996,UGA
44,Philippines,2.69,1996,PHL
45,Indonesia,2.65,1996,IDN
46,India,2.63,1996,IND
47,Russia,2.58,1996,RUS
48,Venezuela,2.5,1996,VEN
49,Cameroon,2.46,1996,CMR
50,China,2.43,1996,CHN
51,Bangladesh,2.29,1996,BGD
52,Kenya,2.21,1996,KEN
53,Pakistan,1,1996,PAK
54,Nigeria,0.69,1996,NGA
