Rank,Country,CPI,Year,ID
1,Finland,10,2000,FIN
2,Denmark,9.8,2000,DNK
3,New Zealand,9.4,2000,NZL
3,Sweden,9.4,2000,SWE
5,Canada,9.2,2000,CAN
6,Iceland,9.1,2000,ISL
6,Norway,9.1,2000,NOR
6,Singapore,9.1,2000,SGP
9,Netherlands,8.9,2000,NLD
10,United Kingdom,8.7,2000,GBR
11,Luxembourg,8.6,2000,LUX
11,Switzerland,8.6,2000,CHE
13,Australia,8.3,2000,AUS
14,USA,7.8,2000,USA
15,Austria,7.7,2000,AUT
15,Hong Kong,7.7,2000,HKG
17,Germany,7.6,2000,DEU
18,Chile,7.4,2000,CHL
19,Ireland,7.2,2000,IRL
20,Spain,7,2000,ESP
21,France,6.7,2000,FRA
22,Israel,6.6,2000,ISR
23,Japan,6.4,2000,JPN
23,Portugal,6.4,2000,PRT
25,Belgium,6.1,2000,BEL
26,Botswana,6,2000,BWA
27,Estonia,5.7,2000,EST
28,Slovenia,5.5,2000,SVN
28,Taiwan,5.5,2000,TWN
30,Costa Rica,5.4,2000,CRI
30,Namibia,5.4,2000,NAM
32,Hungary,5.2,2000,HUN
32,Tunisia,5.2,2000,TUN
34,South Africa,5,2000,ZAF
35,Greece,4.9,2000,GRC
36,Malaysia,4.8,2000,MYS
37,Mauritius,4.7,2000,MUS
37,Morocco,4.7,2000,MAR
39,Italy,4.6,2000,ITA
39,Jordan,4.6,2000,JOR
41,Peru,4.4,2000,PER
42,Czech Republic,4.3,2000,CZE
43,Belarus,4.1,2000,BLR
43,El Salvador,4.1,2000,SLV
43,Lithuania,4.1,2000,LTU
43,Malawi,4.1,2000,MWI
43,Poland,4.1,2000,POL
48,South Korea,4,2000,KOR
49,Brazil,3.9,2000,BRA
50,Turkey,3.8,2000,TUR
51,Croatia,3.7,2000,HRV
52,Argentina,3.5,2000,ARG
52,Bulgaria,3.5,2000,BGR
52,Ghana,3.5,2000,GHA
52,Senegal,3.5,2000,SEN
52,Slovak Republic,3.5,2000,SVK
57,Latvia,3.4,2000,LVA
57,Zambia,3.4,2000,ZMB
59,Mexico,3.3,2000,MEX
60,Colombia,3.2,2000,COL
60,Ethiopia,3.2,2000,ETH
60,Thailand,3.2,2000,THA
63,China,3.1,2000,CHN
63,Egypt,3.1,2000,EGY
65,Burkina Faso,3,2000,BFA
65,Kazakhstan,3,2000,KAZ
65,Zimbabwe,3,2000,ZWE
68,Romania,2.9,2000,ROU
69,India,2.8,2000,IND
69,Philippines,2.8,2000,PHL
71,Bolivia,2.7,2000,BOL
71,Côte-d'Ivoire,2.7,2000,CIV
71,Venezuela,2.7,2000,VEN
74,Ecuador,2.6,2000,ECU
74,Moldova,2.6,2000,MDA
76,Armenia,2.5,2000,ARM
76,Tanzania,2.5,2000,TZA
76,Vietnam,2.5,2000,VNM
79,Uzbekistan,2.4,2000,UZB
80,Uganda,2.3,2000,UGA
81,Mozambique,2.2,2000,MOZ
82,Kenya,2.1,2000,KEN
82,Russia,2.1,2000,RUS
84,Cameroon,2,2000,CMR
85,Angola,1.7,2000,AGO
85,Indonesia,1.7,2000,IDN
87,Azerbaijan,1.5,2000,AZE
87,Ukraine,1.5,2000,UKR
89,Yugoslavia,1.3,2000,YUG
90,Nigeria,1.2,2000,NGA
