Rank,Country,CPI,Year,ID
1,New Zealand,9.55,1995,NZL
2,Denmark,9.32,1995,DNK
3,Singapore,9.26,1995,SGP
4,Finland,9.12,1995,FIN
5,Canada,8.87,1995,CAN
5,Sweden,8.87,1995,SWE
7,Australia,8.8,1995,AUS
8,Switzerland,8.76,1995,CHE
9,The Netherlands,8.69,1995,NLD
10,Norway,8.61,1995,NOR
11,Ireland,8.57,1995,IRL
11,United Kingdom,8.57,1995,GBR
13,Germany,8.14,1995,DEU
14,Chile,7.94,1995,CHL
15,USA,7.79,1995,USA
16,Austria,7.13,1995,AUT
17,Hong Kong,7.12,1995,HKG
18,France,7,1995,FRA
19,Belgium/Luxembourg,6.85,1995,NA
20,Japan,6.72,1995,JPN
21,South Africa,5.62,1995,ZAF
22,Portugal,5.56,1995,PRT
23,Malaysia,5.28,1995,MYS
24,Argentina,5.24,1995,ARG
25,Taiwan,5.08,1995,TWN
26,Spain,4.35,1995,ESP
27,South Korea,4.29,1995,KOR
28,Hungary,4.12,1995,HUN
29,Turkey,4.1,1995,TUR
30,Greece,4.04,1995,GRC
31,Colombia,3.44,1995,COL
32,Mexico,3.18,1995,MEX
33,Italy,2.99,1995,ITA
34,Thailand,2.79,1995,THA
35,India,2.78,1995,IND
36,Philippines,2.77,1995,PHL
37,Brazil,2.7,1995,BRA
38,Venezuela,2.66,1995,VEN
