Rank,Country,CPI,Year
1,Denmark,91,2013
1,New Zealand,91,2013
3,Finland,89,2013
3,Sweden,89,2013
5,Norway,86,2013
5,Singapore,86,2013
7,Switzerland,85,2013
8,Netherlands,83,2013
9,Australia,81,2013
9,Canada,81,2013
11,Luxembourg,80,2013
12,Germany,78,2013
12,Iceland,78,2013
14,United Kingdom,76,2013
15,Barbados,75,2013
15,Belgium,75,2013
15,Hong Kong,75,2013
18,Japan,74,2013
19,Uruguay,73,2013
19,United States,73,2013
21,Ireland,72,2013
22,Bahamas,71,2013
22,Chile,71,2013
22,France,71,2013
22,Saint Lucia,71,2013
26,Austria,69,2013
26,United Arab Emirates,69,2013
28,Estonia,68,2013
28,Qatar,68,2013
30,Botswana,64,2013
31,Bhutan,63,2013
31,Cyprus,63,2013
33,Portugal,62,2013
33,Puerto Rico,62,2013
33,Saint Vincent and the Grenadines,62,2013
36,Israel,61,2013
36,Taiwan,61,2013
38,Brunei,60,2013
38,Poland,60,2013
40,Spain,59,2013
41,Cape Verde,58,2013
41,Dominica,58,2013
43,Lithuania,57,2013
43,Slovenia,57,2013
45,Malta,56,2013
46,South Korea,55,2013
47,Hungary,54,2013
47,Seychelles,54,2013
49,Costa Rica,53,2013
49,Latvia,53,2013
49,Rwanda,53,2013
52,Mauritius,52,2013
53,Malaysia,50,2013
53,Turkey,50,2013
55,Georgia,49,2013
55,Lesotho,49,2013
57,Bahrain,48,2013
57,Croatia,48,2013
57,Czech Republic,48,2013
57,Namibia,48,2013
61,Oman,47,2013
61,Slovakia,47,2013
63,Cuba,46,2013
63,Ghana,46,2013
63,Saudi Arabia,46,2013
66,Jordan,45,2013
67,Macedonia,44,2013
67,Montenegro,44,2013
69,Italy,43,2013
69,Kuwait,43,2013
69,Romania,43,2013
72,Bosnia and Herzegovina,42,2013
72,Brazil,42,2013
72,Sao Tome and Principe,42,2013
72,Serbia,42,2013
72,South Africa,42,2013
77,Bulgaria,41,2013
77,Senegal,41,2013
77,Tunisia,41,2013
80,China,40,2013
80,Greece,40,2013
82,Swaziland,39,2013
83,Burkina Faso,38,2013
83,El Salvador,38,2013
83,Jamaica,38,2013
83,Liberia,38,2013
83,Mongolia,38,2013
83,Peru,38,2013
83,Trinidad and Tobago,38,2013
83,Zambia,38,2013
91,Malawi,37,2013
91,Morocco,37,2013
91,Sri Lanka,37,2013
94,Algeria,36,2013
94,Armenia,36,2013
94,Benin,36,2013
94,Colombia,36,2013
94,Djibouti,36,2013
94,India,36,2013
94,Philippines,36,2013
94,Suriname,36,2013
102,Ecuador,35,2013
102,Moldova,35,2013
102,Panama,35,2013
102,Thailand,35,2013
106,Argentina,34,2013
106,Bolivia,34,2013
106,Gabon,34,2013
106,Mexico,34,2013
106,Niger,34,2013
111,Ethiopia,33,2013
111,Kosovo,33,2013
111,Tanzania,33,2013
114,Egypt,32,2013
114,Indonesia,32,2013
116,Albania,31,2013
116,Nepal,31,2013
116,Vietnam,31,2013
119,Mauritania,30,2013
119,Mozambique,30,2013
119,Sierra Leone,30,2013
119,Timor-Leste,30,2013
123,Belarus,29,2013
123,Dominican Republic,29,2013
123,Guatemala,29,2013
123,Togo,29,2013
127,Azerbaijan,28,2013
127,Comoros,28,2013
127,Gambia,28,2013
127,Lebanon,28,2013
127,Madagascar,28,2013
127,Mali,28,2013
127,Nicaragua,28,2013
127,Pakistan,28,2013
127,Russia,28,2013
136,Bangladesh,27,2013
136,Côte d´Ivoire,27,2013
136,Guyana,27,2013
136,Kenya,27,2013
140,Honduras,26,2013
140,Kazakhstan,26,2013
140,Laos,26,2013
140,Uganda,26,2013
144,Cameroon,25,2013
144,Central African Republic,25,2013
144,Iran,25,2013
144,Nigeria,25,2013
144,Papua New Guinea,25,2013
144,Ukraine,25,2013
150,Guinea,24,2013
150,Kyrgyzstan,24,2013
150,Paraguay,24,2013
153,Angola,23,2013
154,Congo Republic,22,2013
154,Democratic Republic of the Congo,22,2013
154,Tajikistan,22,2013
157,Burundi,21,2013
157,Myanmar,21,2013
157,Zimbabwe,21,2013
160,Cambodia,20,2013
160,Eritrea,20,2013
160,Venezuela,20,2013
163,Chad,19,2013
163,Equatorial Guinea,19,2013
163,Guinea-Bissau,19,2013
163,Haiti,19,2013
167,Yemen,18,2013
168,Syria,17,2013
168,Turkmenistan,17,2013
168,Uzbekistan,17,2013
171,Iraq,16,2013
172,Libya,15,2013
173,South Sudan,14,2013
174,Sudan,11,2013
175,Afghanistan,8,2013
175,North Korea,8,2013
175,Somalia,8,2013
