Rank,Country,CPI,Year
1,Denmark,9.3,2008
1,New Zealand,9.3,2008
1,Sweden,9.3,2008
4,Singapore,9.2,2008
5,Finland,9,2008
5,Switzerland,9,2008
7,Iceland,8.9,2008
7,Netherlands,8.9,2008
9,Australia,8.7,2008
9,Canada,8.7,2008
11,Luxembourg,8.3,2008
12,Austria,8.1,2008
12,Hong Kong,8.1,2008
14,Germany,7.9,2008
14,Norway,7.9,2008
16,Ireland,7.7,2008
16,United Kingdom,7.7,2008
18,Belgium,7.3,2008
18,Japan,7.3,2008
18,USA,7.3,2008
21,Saint Lucia,7.1,2008
22,Barbados,7,2008
23,Chile,6.9,2008
23,France,6.9,2008
23,Uruguay,6.9,2008
26,Slovenia,6.7,2008
27,Estonia,6.6,2008
28,Qatar,6.5,2008
28,Saint Vincent and the Grenadines,6.5,2008
28,Spain,6.5,2008
31,Cyprus,6.4,2008
32,Portugal,6.1,2008
33,Dominica,6,2008
33,Israel,6,2008
35,United Arab Emirates,5.9,2008
36,Botswana,5.8,2008
36,Malta,5.8,2008
36,Puerto Rico,5.8,2008
39,Taiwan,5.7,2008
40,South Korea,5.6,2008
41,Mauritius,5.5,2008
41,Oman,5.5,2008
43,Bahrain,5.4,2008
43,Macau,5.4,2008
45,Bhutan,5.2,2008
45,Czech Republic,5.2,2008
47,Cape Verde,5.1,2008
47,Costa Rica,5.1,2008
47,Hungary,5.1,2008
47,Jordan,5.1,2008
47,Malaysia,5.1,2008
52,Latvia,5,2008
52,Slovakia,5,2008
54,South Africa,4.9,2008
55,Italy,4.8,2008
55,Seychelles,4.8,2008
57,Greece,4.7,2008
58,Lithuania,4.6,2008
58,Poland,4.6,2008
58,Turkey,4.6,2008
61,Namibia,4.5,2008
62,Croatia,4.4,2008
62,Samoa,4.4,2008
62,Tunisia,4.4,2008
65,Cuba,4.3,2008
65,Kuwait,4.3,2008
67,El Salvador,3.9,2008
67,Georgia,3.9,2008
67,Ghana,3.9,2008
70,Colombia,3.8,2008
70,Romania,3.8,2008
72,Bulgaria,3.6,2008
72,China,3.6,2008
72,Macedonia (Former Yugoslav Republic of),3.6,2008
72,Mexico,3.6,2008
72,Peru,3.6,2008
72,Suriname,3.6,2008
72,Swaziland,3.6,2008
72,Trinidad and Tobago,3.6,2008
80,Brazil,3.5,2008
80,Burkina Faso,3.5,2008
80,Morocco,3.5,2008
80,Saudi Arabia,3.5,2008
80,Thailand,3.5,2008
85,Albania,3.4,2008
85,India,3.4,2008
85,Madagascar,3.4,2008
85,Montenegro,3.4,2008
85,Panama,3.4,2008
85,Senegal,3.4,2008
85,Serbia,3.4,2008
92,Algeria,3.2,2008
92,Bosnia and Herzegovina,3.2,2008
92,Lesotho,3.2,2008
92,Sri Lanka,3.2,2008
96,Benin,3.1,2008
96,Gabon,3.1,2008
96,Guatemala,3.1,2008
96,Jamaica,3.1,2008
96,Kiribati,3.1,2008
96,Mali,3.1,2008
102,Bolivia,3,2008
102,Djibouti,3,2008
102,Dominican Republic,3,2008
102,Lebanon,3,2008
102,Mongolia,3,2008
102,Rwanda,3,2008
102,Tanzania,3,2008
109,Argentina,2.9,2008
109,Armenia,2.9,2008
109,Belize,2.9,2008
109,Moldova,2.9,2008
109,Solomon Islands,2.9,2008
109,Vanuatu,2.9,2008
115,Egypt,2.8,2008
115,Malawi,2.8,2008
115,Maldives,2.8,2008
115,Mauritania,2.8,2008
115,Niger,2.8,2008
115,Zambia,2.8,2008
121,Nepal,2.7,2008
121,Nigeria,2.7,2008
121,Sao Tome and Principe,2.7,2008
121,Togo,2.7,2008
121,Viet Nam,2.7,2008
126,Eritrea,2.6,2008
126,Ethiopia,2.6,2008
126,Guyana,2.6,2008
126,Honduras,2.6,2008
126,Indonesia,2.6,2008
126,Libya,2.6,2008
126,Mozambique,2.6,2008
126,Uganda,2.6,2008
134,Comoros,2.5,2008
134,Nicaragua,2.5,2008
134,Pakistan,2.5,2008
134,Ukraine,2.5,2008
138,Liberia,2.4,2008
138,Paraguay,2.4,2008
138,Tonga,2.4,2008
141,Cameroon,2.3,2008
141,Iran,2.3,2008
141,Philippines,2.3,2008
141,Yemen,2.3,2008
145,Kazakhstan,2.2,2008
145,Timor-Leste,2.2,2008
147,Bangladesh,2.1,2008
147,Kenya,2.1,2008
147,Russia,2.1,2008
147,Syria,2.1,2008
151,Belarus,2,2008
151,Central African Republic,2,2008
151,Côte d´Ivoire,2,2008
151,Ecuador,2,2008
151,Laos,2,2008
151,Papua New Guinea,2,2008
151,Taijikistan,2,2008
158,Angola,1.9,2008
158,Azerbaijan,1.9,2008
158,Burundi,1.9,2008
158,Congo. Republic,1.9,2008
158,Gambia,1.9,2008
158,Guinea-Bissau,1.9,2008
158,Sierra Leone,1.9,2008
158,Venezuela,1.9,2008
166,Cambodia,1.8,2008
166,Kyrgyzstan,1.8,2008
166,Turkmenistan,1.8,2008
166,Uzbekistan,1.8,2008
166,Zimbabwe,1.8,2008
171,Congo. Democratic Republic,1.7,2008
171,Equatorial Guinea,1.7,2008
173,Chad,1.6,2008
173,Guinea,1.6,2008
173,Sudan,1.6,2008
176,Afghanistan,1.5,2008
177,Haiti,1.4,2008
178,Iraq,1.3,2008
178,Myanmar,1.3,2008
180,Somalia,1,2008
