Rank,Country,CPI,Year
1,New Zealand,9.55,1995
2,Denmark,9.32,1995
3,Singapore,9.26,1995
4,Finland,9.12,1995
5,Canada,8.87,1995
5,Sweden,8.87,1995
7,Australia,8.8,1995
8,Switzerland,8.76,1995
9,The Netherlands,8.69,1995
10,Norway,8.61,1995
11,Ireland,8.57,1995
11,United Kingdom,8.57,1995
13,Germany,8.14,1995
14,Chile,7.94,1995
15,USA,7.79,1995
16,Austria,7.13,1995
17,Hong Kong,7.12,1995
18,France,7,1995
19,Belgium/Luxembourg,6.85,1995
20,Japan,6.72,1995
21,South Africa,5.62,1995
22,Portugal,5.56,1995
23,Malaysia,5.28,1995
24,Argentina,5.24,1995
25,Taiwan,5.08,1995
26,Spain,4.35,1995
27,South Korea,4.29,1995
28,Hungary,4.12,1995
29,Turkey,4.1,1995
30,Greece,4.04,1995
31,Colombia,3.44,1995
32,Mexico,3.18,1995
33,Italy,2.99,1995
34,Thailand,2.79,1995
35,India,2.78,1995
36,Philippines,2.77,1995
37,Brazil,2.7,1995
38,Venezuela,2.66,1995
